       X        Y   Velocity Heading(deg)
   377.7    480.9       1.00         22.1
   379.6    481.6       1.00         22.4
   381.4    482.4       1.00         22.6
   383.3    483.2       1.00         22.9
   385.1    484.0       1.00         23.2
   387.0    484.7       1.00         23.4
   388.8    485.5       1.00         23.7
   390.6    486.4       1.00         23.9
   392.4    487.2       1.00         24.2
   394.3    488.0       1.00         24.5
   396.1    488.8       1.00         24.7
   397.9    489.7       1.00         25.0
   399.7    490.5       1.00         25.2
   401.5    491.4       1.00         25.5
   403.3    492.2       1.00         25.8
   405.1    493.1       1.00         26.0
   406.9    494.0       1.00         26.3
   408.7    494.9       1.00         26.6
   410.5    495.8       1.00         26.9
   412.3    496.7       1.00         27.2
   414.0    497.6       1.00         27.6
   415.8    498.5       1.00         27.9
   417.6    499.5       1.00         28.3
   419.3    500.4       1.00         28.7
   421.1    501.4       1.00         29.1
   422.8    502.4       1.00         29.5
   424.6    503.4       1.00         30.0
   426.3    504.4       1.00         30.5
   428.0    505.4       1.00         31.1
   429.7    506.4       1.00         31.7
   431.4    507.5       1.00         32.4
   433.1    508.6       1.00         33.1
   434.8    509.7       1.00         34.0
   436.4    510.8       1.00         35.0
   438.1    512.0       1.00         36.2
   439.7    513.2       1.00         37.7
   441.2    514.4       1.00         39.5
   442.7    515.7       1.00         41.8
   444.2    517.1       1.00         45.0
   445.6    518.6       1.00         49.6
   446.8    520.1       1.00         57.3
   447.7    521.9       0.99         70.7
   448.1    523.9       0.99         84.2
   448.1    525.9       1.00         91.1
   448.0    527.9       1.00         94.6
   447.8    529.9       1.00         97.0
   447.5    531.8       1.00         98.7
   447.2    533.8       1.00        100.1
   446.8    535.8       1.00        101.2
   446.4    537.7       1.00        102.1
   446.0    539.7       1.00        102.8
   445.5    541.6       1.00        103.5
   445.1    543.6       1.00        104.1
   444.6    545.5       1.00        104.6
   444.0    547.4       1.00        105.1
   443.5    549.4       1.00        105.5
   443.0    551.3       1.00        105.9
   442.4    553.2       1.00        106.2
   441.9    555.1       1.00        106.6
   441.3    557.1       1.00        106.9
   440.7    559.0       1.00        107.2
   440.1    560.9       1.00        107.4
   439.5    562.8       1.00        107.7
   438.9    564.7       1.00        107.9
   438.3    566.6       1.00        108.2
   437.6    568.5       1.00        108.4
   437.0    570.4       1.00        108.6
   436.4    572.3       1.00        108.8
   435.7    574.2       1.00        109.0
   435.1    576.1       1.00        109.2
   434.4    578.0       1.00        109.3
   433.7    579.8       1.00        109.5
   433.1    581.7       1.00        109.7
   432.4    583.6       1.00        109.8
   431.7    585.5       1.00        110.0
   431.0    587.4       1.00        110.1
   430.3    589.2       1.00        110.3
   429.6    591.1       1.00        110.4
   428.9    593.0       1.00        110.6
   428.2    594.9       1.00        110.7
   427.5    596.7       1.00        110.9
   426.8    598.6       1.00        111.0
   426.1    600.5       1.00        111.2
