       X        Y   Velocity Heading(deg)
   305.1    136.2       1.00         14.9
   307.0    136.7       1.00         15.2
   309.0    137.2       1.00         15.5
   310.9    137.8       1.00         15.8
   312.8    138.3       1.00         16.0
   314.7    138.9       1.00         16.3
   316.7    139.5       1.00         16.5
   318.6    140.0       1.00         16.8
   320.5    140.6       1.00         17.1
   322.4    141.2       1.00         17.3
   324.3    141.8       1.00         17.6
   326.2    142.4       1.00         17.8
   328.1    143.0       1.00         18.1
   330.0    143.7       1.00         18.4
   331.9    144.3       1.00         18.6
   333.8    144.9       1.00         18.9
   335.7    145.6       1.00         19.2
   337.6    146.3       1.00         19.5
   339.5    146.9       1.00         19.8
   341.4    147.6       1.00         20.1
   343.3    148.3       1.00         20.5
   345.1    149.0       1.00         20.8
   347.0    149.7       1.00         21.2
   348.9    150.5       1.00         21.6
   350.7    151.2       1.00         22.0
   352.6    152.0       1.00         22.5
   354.4    152.7       1.00         22.9
   356.3    153.5       1.00         23.5
   358.1    154.3       1.00         24.1
   359.9    155.2       1.00         24.7
   361.7    156.0       1.00         25.4
   363.5    156.9       1.00         26.2
   365.3    157.8       1.00         27.1
   367.1    158.7       1.00         28.2
   368.9    159.7       1.00         29.4
   370.6    160.7       1.00         30.9
   372.3    161.7       1.00         32.8
   374.0    162.8       1.00         35.3
   375.6    164.0       1.00         38.6
   377.1    165.3       1.00         43.5
   378.5    166.8       0.99         51.6
   379.6    168.5       0.98         66.6
   380.0    170.4       0.99         83.1
   380.0    172.4       1.00         91.5
   379.9    174.4       1.00         94.5
   379.7    176.4       1.00         96.6
   379.5    178.4       1.00         98.1
   379.2    180.3       1.00         99.3
   378.8    182.3       1.00        100.2
   378.4    184.3       1.00        101.0
   378.1    186.3       1.00        101.7
   377.6    188.2       1.00        102.3
   377.2    190.2       1.00        102.8
   376.8    192.1       1.00        103.2
   376.3    194.1       1.00        103.6
   375.8    196.0       1.00        104.0
   375.3    198.0       1.00        104.3
   374.8    199.9       1.00        104.6
   374.3    201.8       1.00        104.9
   373.8    203.8       1.00        105.2
   373.3    205.7       1.00        105.4
   372.7    207.6       1.00        105.7
   372.2    209.6       1.00        105.9
   371.6    211.5       1.00        106.1
   371.1    213.4       1.00        106.3
   370.5    215.3       1.00        106.5
   369.9    217.2       1.00        106.6
   369.4    219.2       1.00        106.8
   368.8    221.1       1.00        107.0
   368.2    223.0       1.00        107.1
   367.6    224.9       1.00        107.3
   367.0    226.8       1.00        107.4
   366.4    228.7       1.00        107.6
   365.8    230.6       1.00        107.7
   365.2    232.5       1.00        107.9
   364.6    234.5       1.00        108.0
   363.9    236.4       1.00        108.1
   363.3    238.3       1.00        108.2
   362.7    240.2       1.00        108.4
   362.1    242.1       1.00        108.5
   361.4    244.0       1.00        108.6
   360.8    245.9       1.00        108.7
   360.1    247.8       1.00        108.8
   359.5    249.6       1.00        108.9
   358.8    251.5       1.00        109.1
   358.2    253.4       1.00        109.2
   357.5    255.3       1.00        109.3
   356.8    257.2       1.00        109.4
   356.2    259.1       1.00        109.5
   355.5    261.0       1.00        109.6
   354.8    262.9       1.00        109.7
   354.2    264.8       1.00        109.8
   353.5    266.6       1.00        109.9
   352.8    268.5       1.00        110.0
   352.1    270.4       1.00        110.1
   351.4    272.3       1.00        110.2
   350.7    274.2       1.00        110.3
   350.0    276.0       1.00        110.4
   349.3    277.9       1.00        110.5
   348.6    279.8       1.00        110.6
   347.9    281.7       1.00        110.7
   347.2    283.5       1.00        110.9
   346.5    285.4       1.00        111.0
   345.8    287.3       1.00        111.1
   345.0    289.2       1.00        111.2
   344.3    291.0       1.00        111.3
   343.6    292.9       1.00        111.4
   342.9    294.7       1.00        111.5
   342.1    296.6       1.00        111.6
   341.4    298.5       1.00        111.7
   340.6    300.3       1.00        111.8
   339.9    302.2       1.00        112.0
   339.1    304.0       1.00        112.1
   338.4    305.9       1.00        112.2
   337.6    307.8       1.00        112.3
   336.9    309.6       1.00        112.4
   336.1    311.5       1.00        112.6
   335.3    313.3       1.00        112.7
   334.6    315.2       1.00        112.8
   333.8    317.0       1.00        113.0
   333.0    318.8       1.00        113.1
   332.2    320.7       1.00        113.2
   331.4    322.5       1.00        113.4
   330.6    324.4       1.00        113.5
   329.8    326.2       1.00        113.7
   329.0    328.0       1.00        113.8
   328.2    329.9       1.00        114.0
   327.4    331.7       1.00        114.2
   326.6    333.5       1.00        114.4
   325.7    335.3       1.00        114.5
   324.9    337.2       1.00        114.7
   324.1    339.0       1.00        114.9
   323.2    340.8       1.00        115.1
   322.4    342.6       1.00        115.3
   321.5    344.4       1.00        115.6
   320.6    346.2       1.00        115.8
   319.7    348.0       1.00        116.0
   318.9    349.8       1.00        116.3
   318.0    351.6       1.00        116.6
   317.1    353.4       1.00        116.8
   316.2    355.2       1.00        117.1
   315.2    357.0       1.00        117.5
   314.3    358.7       1.00        117.8
   313.4    360.5       1.00        118.2
   312.4    362.3       1.00        118.6
   311.5    364.0       1.00        119.0
   310.5    365.8       1.00        119.5
   309.5    367.5       1.00        120.0
   308.5    369.2       1.00        120.6
   307.5    371.0       1.00        121.2
   306.4    372.7       1.00        121.9
   305.3    374.4       1.00        122.7
   304.2    376.0       1.00        123.6
   303.1    377.7       1.00        124.6
   302.0    379.3       1.00        125.8
   300.8    380.9       1.00        127.3
   299.5    382.5       1.00        129.0
   298.3    384.1       1.00        131.3
   296.9    385.5       1.00        134.2
   295.5    386.9       1.00        138.2
   293.9    388.2       1.00        144.2
   292.2    389.3       0.99        153.9
   290.3    389.9       0.99        168.4
   288.4    390.1       1.00       -178.5
   286.4    389.8       1.00       -170.9
   284.4    389.4       1.00       -166.2
   282.5    388.9       1.00       -162.9
   280.6    388.2       1.00       -160.5
   278.7    387.5       1.00       -158.6
   276.8    386.8       1.00       -157.1
   275.0    386.0       1.00       -155.8
   273.2    385.1       1.00       -154.8
   271.4    384.3       1.00       -153.9
   269.6    383.4       1.00       -153.1
   267.8    382.5       1.00       -152.4
   266.1    381.5       1.00       -151.7
   264.3    380.6       1.00       -151.2
   262.5    379.6       1.00       -150.7
   260.8    378.6       1.00       -150.2
   259.1    377.6       1.00       -149.8
